col_0;col_1;col_2;Total Total;Total Españoles;Total Extranjeros;Hombres Total;Hombres Españoles;Hombres Extranjeros;Mujeres Total;Mujeres Españoles;Mujeres Extranjeros;Año;Mes
SALAMANCA;Total;;147276.0;;;;;;;;;2012;4
CHAMARTÍN;Total;;146503.0;;;;;;;;;2012;4
TETUÁN;Total;;157563.0;;;;;;;;;2012;4
CHAMBERÍ;Total;;142515.0;;;;;;;;;2012;4
FUENCARRAL - EL PARDO;Total;;235250.0;;;;;;;;;2012;4
MONCLOA - ARAVACA;Total;;118023.0;;;;;;;;;2012;4
LATINA;Total;;247921.0;;;;;;;;;2012;4
CARABANCHEL;Total;;252500.0;;;;;;;;;2012;4
USERA;Total;;138716.0;;;;;;;;;2012;4
PUENTE DE VALLECAS;Total;;238334.0;;;;;;;;;2012;4
MORATALAZ;Total;;99830.0;;;;;;;;;2012;4
CIUDAD LINEAL;Total;;223494.0;;;;;;;;;2012;4
HORTALEZA;Total;;175788.0;;;;;;;;;2012;4
VILLAVERDE;Total;;147290.0;;;;;;;;;2012;4
VILLA DE VALLECAS;Total;;96469.0;;;;;;;;;2012;4
VICÁLVARO;Total;;71166.0;;;;;;;;;2012;4
SAN BLAS-CANILLEJAS;Total;;156951.0;;;;;;;;;2012;4
BARAJAS;Total;;46650.0;;;;;;;;;2012;4
CENTRO;Total;;140765.0;;;;;;;;;2012;5
ARGANZUELA;Total;;154909.0;;;;;;;;;2012;5
RETIRO;Total;;121511.0;;;;;;;;;2012;5
SALAMANCA;Total;;146856.0;;;;;;;;;2012;5
CHAMARTÍN;Total;;146163.0;;;;;;;;;2012;5
TETUÁN;Total;;157023.0;;;;;;;;;2012;5
CHAMBERÍ;Total;;142046.0;;;;;;;;;2012;5
FUENCARRAL - EL PARDO;Total;;234744.0;;;;;;;;;2012;5
MONCLOA - ARAVACA;Total;;117740.0;;;;;;;;;2012;5
LATINA;Total;;247185.0;;;;;;;;;2012;5
CARABANCHEL;Total;;251694.0;;;;;;;;;2012;5
USERA;Total;;138171.0;;;;;;;;;2012;5
PUENTE DE VALLECAS;Total;;237572.0;;;;;;;;;2012;5
MORATALAZ;Total;;99536.0;;;;;;;;;2012;5
CIUDAD LINEAL;Total;;222895.0;;;;;;;;;2012;5
HORTALEZA;Total;;175481.0;;;;;;;;;2012;5
VILLAVERDE;Total;;146808.0;;;;;;;;;2012;5
VILLA DE VALLECAS;Total;;96485.0;;;;;;;;;2012;5
VICÁLVARO;Total;;70913.0;;;;;;;;;2012;5
SAN BLAS-CANILLEJAS;Total;;156696.0;;;;;;;;;2012;5
BARAJAS;Total;;46559.0;;;;;;;;;2012;5
CENTRO;Total;;140214.0;;;;;;;;;2012;6
ARGANZUELA;Total;;154667.0;;;;;;;;;2012;6
RETIRO;Total;;121187.0;;;;;;;;;2012;6
SALAMANCA;Total;;146460.0;;;;;;;;;2012;6
CHAMARTÍN;Total;;145739.0;;;;;;;;;2012;6
TETUÁN;Total;;156512.0;;;;;;;;;2012;6
CHAMBERÍ;Total;;141602.0;;;;;;;;;2012;6
FUENCARRAL - EL PARDO;Total;;234355.0;;;;;;;;;2012;6
MONCLOA - ARAVACA;Total;;117361.0;;;;;;;;;2012;6
LATINA;Total;;246469.0;;;;;;;;;2012;6
CARABANCHEL;Total;;250882.0;;;;;;;;;2012;6
USERA;Total;;137720.0;;;;;;;;;2012;6
PUENTE DE VALLECAS;Total;;236863.0;;;;;;;;;2012;6
MORATALAZ;Total;;99271.0;;;;;;;;;2012;6
CIUDAD LINEAL;Total;;222144.0;;;;;;;;;2012;6
HORTALEZA;Total;;175071.0;;;;;;;;;2012;6
VILLAVERDE;Total;;146322.0;;;;;;;;;2012;6
VILLA DE VALLECAS;Total;;96596.0;;;;;;;;;2012;6
VICÁLVARO;Total;;70777.0;;;;;;;;;2012;6
SAN BLAS-CANILLEJAS;Total;;156459.0;;;;;;;;;2012;6
BARAJAS;Total;;46430.0;;;;;;;;;2012;6
CENTRO;Total;;140261.0;;;;;;;;;2012;7
ARGANZUELA;Total;;154961.0;;;;;;;;;2012;7
RETIRO;Total;;121282.0;;;;;;;;;2012;7
SALAMANCA;Total;;146592.0;;;;;;;;;2012;7
CHAMARTÍN;Total;;145870.0;;;;;;;;;2012;7
TETUÁN;Total;;156843.0;;;;;;;;;2012;7
CHAMBERÍ;Total;;141774.0;;;;;;;;;2012;7
FUENCARRAL - EL PARDO;Total;;234828.0;;;;;;;;;2012;7
MONCLOA - ARAVACA;Total;;117599.0;;;;;;;;;2012;7
LATINA;Total;;246597.0;;;;;;;;;2012;7
CARABANCHEL;Total;;251261.0;;;;;;;;;2012;7
USERA;Total;;137902.0;;;;;;;;;2012;7
PUENTE DE VALLECAS;Total;;237167.0;;;;;;;;;2012;7
MORATALAZ;Total;;99386.0;;;;;;;;;2012;7
CIUDAD LINEAL;Total;;222368.0;;;;;;;;;2012;7
HORTALEZA;Total;;175425.0;;;;;;;;;2012;7
VILLAVERDE;Total;;146665.0;;;;;;;;;2012;7
VILLA DE VALLECAS;Total;;96878.0;;;;;;;;;2012;7
VICÁLVARO;Total;;70878.0;;;;;;;;;2012;7
SAN BLAS-CANILLEJAS;Total;;156792.0;;;;;;;;;2012;7
BARAJAS;Total;;46459.0;;;;;;;;;2012;7
CENTRO;Total;;140136.0;;;;;;;;;2012;8
ARGANZUELA;Total;;154957.0;;;;;;;;;2012;8
RETIRO;Total;;121196.0;;;;;;;;;2012;8
SALAMANCA;Total;;146575.0;;;;;;;;;2012;8
CHAMARTÍN;Total;;145794.0;;;;;;;;;2012;8
TETUÁN;Total;;156922.0;;;;;;;;;2012;8
CHAMBERÍ;Total;;141698.0;;;;;;;;;2012;8
FUENCARRAL - EL PARDO;Total;;235022.0;;;;;;;;;2012;8
MONCLOA - ARAVACA;Total;;117548.0;;;;;;;;;2012;8
LATINA;Total;;246340.0;;;;;;;;;2012;8
CARABANCHEL;Total;;251202.0;;;;;;;;;2012;8
USERA;Total;;138006.0;;;;;;;;;2012;8
PUENTE DE VALLECAS;Total;;237172.0;;;;;;;;;2012;8
MORATALAZ;Total;;99212.0;;;;;;;;;2012;8
CIUDAD LINEAL;Total;;222263.0;;;;;;;;;2012;8
