"LOCATIONID";"LOCATIONNAME";"MUNICIPALITY";"PERIOD";"PRICE_SALE";"PRICE_RENT";"UNITPRICE_SALE";"UNITPRICE_RENT";"GROSS_YIELD";"GROSS_YIELD_MA12";"GROSS_YIELD_VOLATILITY";"VIEWS_PER_AD_SALE";"VIEWS_PER_AD_RENT";"LEADS_PER_AD_SALE";"LEADS_PER_AD_RENT";"NET_HOUSEHOLD_INCOME";"EFFORTRATE_SALE";"EFFORTRATE_RENT"
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201705;271842.668817271;889.750067885224;2728.80521717826;11.536585136283;5.07324673684661;5.08243139735359;0.116354335978249;17.2667842138682;53.6375279300937;0.126607216930859;1.11653980266567;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201706;272202.936006;861.033784178999;2739.34874855039;11.5938372702573;5.07880010957753;5.09830538519802;0.100733609554052;18.0381124548405;48.5292040702162;0.100420046500778;1.08791504381513;30642.6156157539;33.2709405962153;37.1674044761775
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201707;276342.210083288;862.492496930671;2756.13123607096;11.7058502717251;5.09664421716543;5.11396816696831;0.0831025122535374;15.4180095771617;45.5564113957899;0.0815064780851233;1.07381668418607;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201708;275837.848941348;866.90511998281;2756.30685313697;11.7133080548293;5.09956634537916;5.1292096277012;0.0587119265382641;12.2985111919153;40.5379075114934;0.0619492390893917;1.13101289759217;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201709;276934.473033784;894.470223479455;2770.08907449064;11.9397033311441;5.17226833220427;5.14375274938718;0.04415852383682;17.841445851244;52.4758865392078;0.102563477698105;1.16274061712105;28479.5127369394;36.3809363016004;40.4478155813012
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201710;281178.917885662;932.323004792049;2806.48977693699;12.2865585834398;5.2534915399618;5.15006403154519;0.0530786256154581;20.2393788529088;52.5067149871188;0.125263891859581;1.01447270239024;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201711;284479.119527801;949.45553429892;2834.54560853772;12.5202643015187;5.30043232205151;5.1572564094292;0.0656342725735589;20.4266890692168;45.1372783264118;0.136255252760937;0.945050496851721;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201712;289447.658920786;941.826563597234;2856.09071569495;12.5979283622241;5.29307908589679;5.17007848563786;0.0751907032512175;18.2521299913225;35.973225457472;0.115507507797323;0.704260782335593;31924.6144841264;32.0852634825775;38.1072327568056
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201801;293157.413509179;924.328916149937;2856.98977219064;12.5580811977317;5.27467671881902;5.17780997121936;0.080585079375402;23.3673238203755;53.5433311520203;0.16797453226455;1.27449884840612;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201802;293022.647283953;909.698236029767;2845.6333385016;12.4778824212109;5.26190732406076;5.18515801064658;0.0838328006345344;23.5436623696891;51.4296945955575;0.169949379384451;1.19335640949239;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201803;292195.728445639;877.190954002208;2849.82472728257;12.6288571492554;5.31774057331484;5.19740262093826;0.0912451961989562;21.5316420594719;51.7272222821891;0.167784136690525;1.11328897783754;33468.1481385334;31.2884897688152;36.8508279215825
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201804;289377.673798693;868.41103932648;2860.10861668422;12.6007153081495;5.28681263416818;5.20905549495383;0.0929741357716625;20.4787016857034;44.5702269039065;0.153383249331239;1.06465906598762;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201805;290264.684568435;859.759752822238;2887.74359682084;12.4801250170514;5.18610794841659;5.21846059591799;0.0840393653264028;19.9496697476827;41.1987381238577;0.168377250816184;1.06980543056807;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201806;288081.014028068;862.224766750196;2876.12847712165;12.4505468555374;5.19471099621985;5.22811983647152;0.0734227258175154;18.9017253090203;36.0649093409653;0.170907833367664;0.930869958711857;33605.7643450176;31.2780690152848;36.3926590262754
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201807;289758.005638532;848.500106407424;2901.0996112872;12.2960402720741;5.08608814019389;5.22724016339055;0.0750381227424874;14.6404710050442;29.7730890126429;0.123794556223187;0.783746521064756;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201808;290085.503552456;861.941399206577;2911.71548211051;12.5055447365352;5.15388738221253;5.23176691646;0.0685582277808483;12.8589060516397;30.9393593463618;0.0892997897036212;1.03093550053992;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201809;289747.367415396;868.709604328632;2928.15669230167;12.4660906012536;5.10878012806946;5.2264762327821;0.0750846964779006;20.1758241398936;45.2929140373439;0.16555799719277;1.37136434383007;32400.1636009823;33.4357300553722;37.4234586925755
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201810;289662.658196324;858.014593483453;2931.60858984684;12.6611256334637;5.18259866367433;5.22056849309148;0.0755144231984093;21.9292218343942;43.9189020629192;0.177197233988954;1.11301793773096;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201811;289424.506125873;854.911941920594;2945.33043763131;12.5605095766512;5.1174602684319;5.20532082195651;0.0763174916863754;21.2504158998465;38.2966436078438;0.165148296843488;1.10566864322791;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201812;284347.557470119;847.287967994488;2934.91408155302;12.4597621231504;5.09443006926755;5.18876673723741;0.0770276508464623;18.7387068062705;34.4258116995607;0.14299414547404;0.895891913449831;33476.2388380325;31.7542941481051;36.678983843652
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201901;283677.835754668;870.60323248538;2949.05596094363;12.1247692582497;4.93368837437862;5.16035104186737;0.0996636565663572;23.8575409517679;41.7710056842815;0.18746908448823;1.25477271132024;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201902;279545.586395669;873.530119789884;2953.4476008621;12.0327704697042;4.8889726567115;5.1292731529216;0.11935125351354;23.9028542261636;40.257065358603;0.202714664540922;1.23585180302207;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201903;277969.268601455;875.508250766122;2939.97277114783;12.2832235175395;5.0136070529975;5.10392869289516;0.108430945328049;23.0492672207083;34.0824687448699;0.19391352962351;1.02995708221135;33241.9609218975;33.3225862371025;35.89908487177
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201904;284754.903540553;903.222115459825;2910.23617851656;12.4035152994442;5.11443657707535;5.08956402147075;0.0936638462310617;20.9991620049016;31.9751607987506;0.156248551994842;0.889736235006316;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201905;282064.064179479;905.436976187621;2915.85763386725;12.5219233095976;5.15330645673123;5.08683056383031;0.0912540865862899;22.573454875452;37.4354331798565;0.175587678890812;0.95518984000355;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201906;282650.40014596;916.570644537528;2908.42153745255;12.426900595365;5.12727626391445;5.08121100280486;0.0863840326649947;18.5620246044653;33.3691995640963;0.15910025673246;0.988386133938546;33799.0944815056;31.6956754651775;36.0189405061973
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201907;280157.400412344;950.502543905692;2909.19645857001;12.4207511726849;5.12337396923282;5.08431815522477;0.0871705654204573;18.3103458650438;34.5696811430246;0.135470407193222;0.910294171083157;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201908;279554.563552773;978.753346699716;2898.22436803317;12.4101244705007;5.13837007543594;5.08302504632672;0.0862390847566691;16.8785751566542;35.4488701148927;0.106724810281272;1.23964638788235;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201909;278025.541357786;962.571047482524;2902.71854218959;12.8753387903694;5.32273671176835;5.10085476163496;0.108869084306779;23.789718599932;44.5326968117667;0.206453175298673;1.58875195649148;32014.0079242678;33.9438987094706;38.495945586903
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201910;275718.522210862;961.528933471368;2924.24828131307;13.1192225869649;5.3836287448509;5.11760726839968;0.13296021725874;24.8735644324343;43.4810411186353;0.183999639220463;1.30393894688535;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201911;270805.670667335;928.495144984824;2877.37729096905;13.8494326107678;5.7758567793952;5.17247364431328;0.225334861766509;25.0490927476929;42.2668565843868;0.189235727055466;1.31108146461045;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201912;269781.752008463;903.5404182982;2862.10497709492;14.5922167449224;6.11810546225332;5.2577799270621;0.342796391475755;22.4935781875057;37.3431166205495;0.165077016864885;1.1472715280061;29785.0066357866;36.8411657771212;45.8549936162367
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";202001;273186.580101403;929.054423131952;2901.33404313218;14.4349737559413;5.97034614064273;5.34416807425077;0.378953902498401;26.508891308598;45.4839182886568;0.185724890082842;1.25514034543763;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";202002;273484.008836469;914.796311682384;2917.21313895527;14.0217316626004;5.7678603494657;5.41740871531362;0.36869304085666;27.2303455547662;45.7026028430204;0.224299842186592;1.28985485537392;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";202003;279873.333050038;902.271148386169;2943.19848047229;13.5989346480529;5.54455354809941;5.46165425657212;0.348906949328094;20.260348744573;35.4713821122779;0.133035406332403;1.04829062921403;30320.0565239061;38.2938114626479;45.2308013338441
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";202004;278479.213034312;914.177951480543;2946.7864527396;13.3499675405197;5.43641736703724;5.48848598906894;0.333200414251214;19.2811481628052;39.2068845776272;0.116239519677157;0.865199318393054;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";202005;275610.823320397;911.604894833551;2959.48204045153;12.9826947063875;5.26417576951678;5.49772509846774;0.325219876221444;26.4303997236768;48.5014524230105;0.178721066014132;1.19970689328014;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";202006;275240.683418767;924.144609367294;2954.67287507559;12.7658762010587;5.18468611889179;5.50250925304918;0.320117429074233;31.9672635714715;44.7253728929135;0.217159968947885;1.08103697161567;34165.2071820905;33.9671196124387;37.3991955616174
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";202007;269474.838907898;913.520987029328;2931.85661744411;12.7854005909137;5.23302559129629;5.51164688822114;0.310587876019562;25.5144257670809;38.4190599969291;0.164712523502583;0.966400573793004;;;
