Año;Mes;Distrito;Paro registrado
2014;Agosto;05. Chamartín;6.458
2014;Agosto;06. Tetuán;11.643
2014;Agosto;07. Chamberí;7.034
2014;Agosto;08. Fuencarral-El Pardo;12.893
2014;Agosto;09. Moncloa-Aravaca;5.866
2014;Agosto;10. Latina;18.791
2014;Agosto;11. Carabanchel;21.667
2014;Agosto;12. Usera;12.458
2014;Agosto;13. Puente de Vallecas;24.163
2014;Agosto;14. Moratalaz;7.129
2014;Agosto;15. Ciudad Lineal;15.384
2014;Agosto;16. Hortaleza;10.683
2014;Agosto;17. Villaverde;14.618
2014;Agosto;18. Villa de Vallecas;9.283
2014;Agosto;19. Vicálvaro;5.984
2014;Agosto;20. San Blas-Canillejas;12.214
2014;Agosto;21. Barajas;2.722
2014;Septiembre;01. Centro;10.579
2014;Septiembre;02. Arganzuela;10.011
2014;Septiembre;03. Retiro;6.009
2014;Septiembre;04. Salamanca;6.774
2014;Septiembre;05. Chamartín;6.356
2014;Septiembre;06. Tetuán;11.485
2014;Septiembre;07. Chamberí;6.979
2014;Septiembre;08. Fuencarral-El Pardo;12.711
2014;Septiembre;09. Moncloa-Aravaca;5.747
2014;Septiembre;10. Latina;18.918
2014;Septiembre;11. Carabanchel;21.889
2014;Septiembre;12. Usera;12.687
2014;Septiembre;13. Puente de Vallecas;24.546
2014;Septiembre;14. Moratalaz;7.091
2014;Septiembre;15. Ciudad Lineal;15.311
2014;Septiembre;16. Hortaleza;10.577
2014;Septiembre;17. Villaverde;14.992
2014;Septiembre;18. Villa de Vallecas;9.174
2014;Septiembre;19. Vicálvaro;5.995
2014;Septiembre;20. San Blas-Canillejas;12.215
2014;Septiembre;21. Barajas;2.699
2014;Octubre;01. Centro;10.663
2014;Octubre;02. Arganzuela;9.951
2014;Octubre;03. Retiro;5.973
2014;Octubre;04. Salamanca;6.842
2014;Octubre;05. Chamartín;6.354
2014;Octubre;06. Tetuán;11.543
2014;Octubre;07. Chamberí;7.008
2014;Octubre;08. Fuencarral-El Pardo;12.719
2014;Octubre;09. Moncloa-Aravaca;5.787
2014;Octubre;10. Latina;18.999
2014;Octubre;11. Carabanchel;22.136
2014;Octubre;12. Usera;12.814
2014;Octubre;13. Puente de Vallecas;24.717
2014;Octubre;14. Moratalaz;7.172
2014;Octubre;15. Ciudad Lineal;15.426
2014;Octubre;16. Hortaleza;10.604
2014;Octubre;17. Villaverde;15.067
2014;Octubre;18. Villa de Vallecas;9.341
2014;Octubre;19. Vicálvaro;6.032
2014;Octubre;20. San Blas-Canillejas;12.316
2014;Octubre;21. Barajas;2.691
2014;Noviembre;01. Centro;10.738
2014;Noviembre;02. Arganzuela;9.902
2014;Noviembre;03. Retiro;5.862
2014;Noviembre;04. Salamanca;6.804
2014;Noviembre;05. Chamartín;6.267
2014;Noviembre;06. Tetuán;11.528
2014;Noviembre;07. Chamberí;6.882
2014;Noviembre;08. Fuencarral-El Pardo;12.560
2014;Noviembre;09. Moncloa-Aravaca;5.722
2014;Noviembre;10. Latina;18.887
2014;Noviembre;11. Carabanchel;21.896
2014;Noviembre;12. Usera;12.653
2014;Noviembre;13. Puente de Vallecas;24.602
2014;Noviembre;14. Moratalaz;7.062
2014;Noviembre;15. Ciudad Lineal;15.228
2014;Noviembre;16. Hortaleza;10.476
2014;Noviembre;17. Villaverde;14.984
2014;Noviembre;18. Villa de Vallecas;9.285
2014;Noviembre;19. Vicálvaro;6.009
2014;Noviembre;20. San Blas-Canillejas;12.151
2014;Noviembre;21. Barajas;2.666
2014;Diciembre;01. Centro;10.416
2014;Diciembre;02. Arganzuela;9.658
2014;Diciembre;03. Retiro;5.733
2014;Diciembre;04. Salamanca;6.587
2014;Diciembre;05. Chamartín;6.184
2014;Diciembre;06. Tetuán;11.283
2014;Diciembre;07. Chamberí;6.785
2014;Diciembre;08. Fuencarral-El Pardo;12.364
2014;Diciembre;09. Moncloa-Aravaca;5.568
2014;Diciembre;10. Latina;18.385
2014;Diciembre;11. Carabanchel;21.353
2014;Diciembre;12. Usera;12.392
2014;Diciembre;13. Puente de Vallecas;24.025
2014;Diciembre;14. Moratalaz;7.029
2014;Diciembre;15. Ciudad Lineal;14.759
2014;Diciembre;16. Hortaleza;10.201
2014;Diciembre;17. Villaverde;14.699
2014;Diciembre;18. Villa de Vallecas;9.067
2014;Diciembre;19. Vicálvaro;5.918
2014;Diciembre;20. San Blas-Canillejas;11.797
2014;Diciembre;21. Barajas;2.572
2015;Enero;01. Centro;10.641
2015;Enero;02. Arganzuela;9.874
2015;Enero;03. Retiro;5.761
2015;Enero;04. Salamanca;6.653
2015;Enero;05. Chamartín;6.306
2015;Enero;06. Tetuán;11.411
2015;Enero;07. Chamberí;6.840
2015;Enero;08. Fuencarral-El Pardo;12.518
2015;Enero;09. Moncloa-Aravaca;5.640
2015;Enero;10. Latina;18.777
2015;Enero;11. Carabanchel;21.631
2015;Enero;12. Usera;12.730
2015;Enero;13. Puente de Vallecas;24.421
2015;Enero;14. Moratalaz;7.086
2015;Enero;15. Ciudad Lineal;15.070
2015;Enero;16. Hortaleza;10.401
2015;Enero;17. Villaverde;14.887
2015;Enero;18. Villa de Vallecas;9.072
2015;Enero;19. Vicálvaro;5.914
2015;Enero;20. San Blas-Canillejas;12.070
2015;Enero;21. Barajas;2.655
2015;Febrero;01. Centro;10.627
2015;Febrero;02. Arganzuela;9.930
2015;Febrero;03. Retiro;5.726
2015;Febrero;04. Salamanca;6.691
2015;Febrero;05. Chamartín;6.398
2015;Febrero;06. Tetuán;11.602
2015;Febrero;07. Chamberí;6.882
2015;Febrero;08. Fuencarral-El Pardo;12.485
2015;Febrero;09. Moncloa-Aravaca;5.695
2015;Febrero;10. Latina;18.795
2015;Febrero;11. Carabanchel;21.947
2015;Febrero;12. Usera;12.860
2015;Febrero;13. Puente de Vallecas;24.628
2015;Febrero;14. Moratalaz;7.076
2015;Febrero;15. Ciudad Lineal;15.286
2015;Febrero;16. Hortaleza;10.447
2015;Febrero;17. Villaverde;14.929
2015;Febrero;18. Villa de Vallecas;9.199
2015;Febrero;19. Vicálvaro;5.948
2015;Febrero;20. San Blas-Canillejas;12.172
2015;Febrero;21. Barajas;2.682
2015;Marzo;01. Centro;10.401
2015;Marzo;02. Arganzuela;9.826
2015;Marzo;03. Retiro;5.644
2015;Marzo;04. Salamanca;6.671
2015;Marzo;05. Chamartín;6.331
2015;Marzo;06. Tetuán;11.576
2015;Marzo;07. Chamberí;6.793
2015;Marzo;08. Fuencarral-El Pardo;12.299
2015;Marzo;09. Moncloa-Aravaca;5.622
2015;Marzo;10. Latina;18.658
2015;Marzo;11. Carabanchel;21.859
2015;Marzo;12. Usera;12.892
2015;Marzo;13. Puente de Vallecas;24.556
2015;Marzo;14. Moratalaz;7.035
2015;Marzo;15. Ciudad Lineal;15.180
2015;Marzo;16. Hortaleza;10.465
2015;Marzo;17. Villaverde;14.889
2015;Marzo;18. Villa de Vallecas;9.131
2015;Marzo;19. Vicálvaro;5.937
2015;Marzo;20. San Blas-Canillejas;12.115
2015;Marzo;21. Barajas;2.638
2015;Abril;01. Centro;10.156
2015;Abril;02. Arganzuela;9.575
2015;Abril;03. Retiro;5.584
2015;Abril;04. Salamanca;6.504
2015;Abril;05. Chamartín;6.148
2015;Abril;06. Tetuán;11.294
2015;Abril;07. Chamberí;6.632
2015;Abril;08. Fuencarral-El Pardo;12.029
2015;Abril;09. Moncloa-Aravaca;5.491
2015;Abril;10. Latina;18.225
2015;Abril;11. Carabanchel;21.352
2015;Abril;12. Usera;12.471
2015;Abril;13. Puente de Vallecas;23.974
2015;Abril;14. Moratalaz;6.938
2015;Abril;15. Ciudad Lineal;14.842
2015;Abril;16. Hortaleza;10.273
2015;Abril;17. Villaverde;14.410
2015;Abril;18. Villa de Vallecas;8.965
2015;Abril;19. Vicálvaro;5.811
2015;Abril;20. San Blas-Canillejas;11.914
2015;Abril;21. Barajas;2.576
2015;Mayo;01. Centro;9.826
2015;Mayo;02. Arganzuela;9.231
2015;Mayo;03. Retiro;5.373
2015;Mayo;04. Salamanca;6.277
2015;Mayo;05. Chamartín;5.928
2015;Mayo;06. Tetuán;10.892
2015;Mayo;07. Chamberí;6.443
2015;Mayo;08. Fuencarral-El Pardo;11.723
2015;Mayo;09. Moncloa-Aravaca;5.267
2015;Mayo;10. Latina;17.572
2015;Mayo;11. Carabanchel;20.499
2015;Mayo;12. Usera;12.029
2015;Mayo;13. Puente de Vallecas;23.292
2015;Mayo;14. Moratalaz;6.704
2015;Mayo;15. Ciudad Lineal;14.318
2015;Mayo;16. Hortaleza;9.903
2015;Mayo;17. Villaverde;14.090
2015;Mayo;18. Villa de Vallecas;8.786
2015;Mayo;19. Vicálvaro;5.665
2015;Mayo;20. San Blas-Canillejas;11.525
2015;Mayo;21. Barajas;2.452
2015;Junio;01. Centro;9.567
2015;Junio;02. Arganzuela;8.994
2015;Junio;03. Retiro;5.203
2015;Junio;04. Salamanca;6.098
2015;Junio;05. Chamartín;5.745
2015;Junio;06. Tetuán;10.583
2015;Junio;07. Chamberí;6.128
2015;Junio;08. Fuencarral-El Pardo;11.505
2015;Junio;09. Moncloa-Aravaca;5.142
2015;Junio;10. Latina;17.132
2015;Junio;11. Carabanchel;19.948
2015;Junio;12. Usera;11.823
2015;Junio;13. Puente de Vallecas;22.746
2015;Junio;14. Moratalaz;6.615
2015;Junio;15. Ciudad Lineal;13.950
2015;Junio;16. Hortaleza;9.674
2015;Junio;17. Villaverde;13.765
2015;Junio;18. Villa de Vallecas;8.586
2015;Junio;19. Vicálvaro;5.574
2015;Junio;20. San Blas-Canillejas;11.221
2015;Junio;21. Barajas;2.390
2015;Julio;01. Centro;9.687
2015;Julio;02. Arganzuela;9.115
2015;Julio;03. Retiro;5.273
2015;Julio;04. Salamanca;6.205
2015;Julio;05. Chamartín;5.841
2015;Julio;06. Tetuán;10.513
2015;Julio;07. Chamberí;6.188
