Distrito,Habitaciones,Operacion,Precio,Tamano,Garaje,Trastero,Piscina,Terraza,Planta,Exterior,Ascensor,Ano_construccion,Ano_reforma,Tipo_vivienda,Banos
CENTRO,1,alquiler,1390,50.0,False,False,False,False,2.0,False,False,,,apartamento,1
CENTRO,1,alquiler,1300,65.0,False,False,False,False,1.0,False,True,,,apartamento,1
CENTRO,1,alquiler,1150,67.0,False,False,False,False,1.0,False,True,,,apartamento,1
CENTRO,1,alquiler,1149,46.0,False,False,False,False,4.0,False,False,,,apartamento,1
CENTRO,1,alquiler,1200,45.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,3,alquiler,3500,109.0,False,False,False,False,2.0,True,True,,2021.0,apartamento,1
CENTRO,1,alquiler,1500,43.0,False,False,False,True,1.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1250,41.0,False,False,False,False,2.0,False,False,,,apartamento,1
CENTRO,2,alquiler,1800,54.0,False,False,False,False,7.0,True,True,,,apartamento,1
CENTRO,3,alquiler,2500,160.0,False,False,False,False,4.0,True,True,,,apartamento,1
CENTRO,3,alquiler,2300,80.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1400,60.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1590,89.0,True,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,3,alquiler,1650,95.0,False,False,False,False,3.0,True,False,,,apartamento,1
CENTRO,2,alquiler,1680,85.0,False,False,True,False,5.0,False,True,,,apartamento,1
CENTRO,2,alquiler,1750,78.0,True,False,False,False,0.0,False,False,,,apartamento,1
CENTRO,1,alquiler,1650,79.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1170,30.0,False,False,False,False,1.0,False,False,,,apartamento,1
CENTRO,2,alquiler,1650,80.0,False,False,False,False,4.0,True,False,,,apartamento,1
CENTRO,5,alquiler,3300,160.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1300,50.0,False,False,False,False,1.0,False,False,,,apartamento,1
CENTRO,1,alquiler,1400,53.0,False,True,False,False,4.0,False,True,,,apartamento,1
CENTRO,2,alquiler,2300,66.0,False,False,False,False,1.0,False,False,,,apartamento,1
CENTRO,1,alquiler,1400,32.0,False,False,False,False,,False,True,,,apartamento,1
CENTRO,1,alquiler,1750,60.0,False,False,False,False,4.0,True,False,,,ático,1
CENTRO,1,alquiler,1550,28.0,False,False,False,False,,False,True,,,apartamento,1
CENTRO,1,alquiler,1100,38.0,False,False,False,False,1.0,False,False,,,apartamento,1
CENTRO,1,alquiler,1800,79.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1200,50.0,False,False,False,False,4.0,False,False,,,apartamento,1
CENTRO,1,alquiler,2145,65.0,False,False,False,False,4.0,True,True,,,apartamento,1
CENTRO,2,alquiler,1400,56.0,False,False,False,True,7.0,False,True,,,apartamento,1
CENTRO,2,alquiler,2500,73.0,False,False,False,False,3.0,True,False,,,apartamento,1
CENTRO,1,alquiler,1650,80.0,False,False,False,False,2.0,True,False,,,apartamento,2
CENTRO,2,alquiler,1600,87.0,False,False,False,False,1.0,True,True,,2018.0,apartamento,1
CENTRO,1,alquiler,1190,58.0,False,False,False,True,1.0,True,False,,,estudio,1
CENTRO,2,alquiler,1600,75.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,3,alquiler,2800,146.0,False,False,False,True,5.0,True,True,,,ático,1
CENTRO,3,alquiler,2300,120.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2550,95.0,False,False,False,False,4.0,True,True,,,apartamento,2
CENTRO,1,alquiler,1450,50.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1700,52.0,False,False,False,False,4.0,False,True,1880.0,,apartamento,1
CENTRO,1,alquiler,1100,26.0,False,False,False,False,6.0,True,True,,,apartamento,1
CENTRO,2,alquiler,1600,57.0,False,False,False,False,4.0,True,True,,,apartamento,1
CENTRO,2,alquiler,1300,70.0,False,False,False,False,5.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1100,38.0,False,False,False,False,0.0,False,True,,,apartamento,1
CENTRO,1,alquiler,1600,62.0,False,False,False,False,1.0,True,False,,,apartamento,1
CENTRO,2,alquiler,2100,68.0,False,False,False,False,1.0,True,True,,,apartamento,1
