,LOCATIONID,LOCATIONNAME,MUNICIPALITY,PRICE_SALE,PRICE_RENT,UNITPRICE_SALE,UNITPRICE_RENT,GROSS_YIELD,GROSS_YIELD_MA12,GROSS_YIELD_VOLATILITY,VIEWS_PER_AD_SALE,VIEWS_PER_AD_RENT,LEADS_PER_AD_SALE,LEADS_PER_AD_RENT,NET_HOUSEHOLD_INCOME,EFFORTRATE_SALE,EFFORTRATE_RENT,YEAR,MONTH,Edad media de la población,Población,Porcentaje de población de 65 y más años,Porcentaje de población menor de 18 años,Tamaño medio del hogar
65,0-EU-ES-28-07-001-079-01,Centro,Madrid,466215.229606596,1071.59725507796,5028.50247817413,18.3136411370505,4.37036065107803,4.40926989968225,0.0500726850455539,61.9526462651179,62.9272608701358,0.831538920003668,2.09234003173933,36733.9832521101,54.5443725484272,49.5357427090622,2020,6,43.5,135719.0,15.8,8.5,2.0
66,0-EU-ES-28-07-001-079-01,Centro,Madrid,459582.815053553,1035.13331055431,5013.70510406102,18.0477515503878,4.31962020321525,4.39670337190497,0.0520337921405608,50.5926977831263,50.1075433502037,0.625748164448357,1.59826773072146,,,,2020,7,43.5,135719.0,15.8,8.5,2.0
67,0-EU-ES-28-07-001-079-01,Centro,Madrid,455783.864358033,1012.05982998688,5002.64343240435,17.8573659715846,4.28350320294615,4.37670469439799,0.0451210654090408,45.7133291139754,47.3991503735193,0.536631989456776,1.57124998785045,,,,2020,8,43.5,135719.0,15.8,8.5,2.0
68,0-EU-ES-28-07-001-079-01,Centro,Madrid,453204.23774618,978.684502969717,5018.87417746497,17.4673761423604,4.17640503221775,4.35566211894201,0.0686242106727182,57.9653600300591,50.8067018495216,0.765541093369845,1.6092896876274,37656.2402275192,50.0278220251865,46.7043981130744,2020,9,43.5,135719.0,15.8,8.5,2.0
69,0-EU-ES-28-07-001-079-01,Centro,Madrid,448107.250600209,962.255550032006,5041.54797865257,17.0987058651917,4.06987042969963,4.3337495670042,0.104842995172479,60.3802473091746,44.9853681117104,0.782780246669468,1.29383275014461,,,,2020,10,43.5,135719.0,15.8,8.5,2.0
70,0-EU-ES-28-07-001-079-01,Centro,Madrid,446112.496372824,949.606055360892,5078.3729140412,16.8549819205612,3.98276744284583,4.30272421080554,0.142328138557312,59.7290695093928,45.0178698241786,0.745010812111275,1.24012906623701,,,,2020,11,43.5,135719.0,15.8,8.5,2.0
71,0-EU-ES-28-07-001-079-01,Centro,Madrid,444925.371158508,959.213567311329,5090.57126312599,16.8553437474694,3.97330897682842,4.26621081488295,0.164260377705838,54.0295997060452,38.4176428549537,0.684284000545439,1.10145727586887,43656.5607819998,41.3811915397201,37.9107359125556,2020,12,43.5,135719.0,15.8,8.5,2.0
72,0-EU-ES-28-07-001-079-01,Centro,Madrid,446550.569381195,964.19165385048,5112.99392066538,16.8834116064249,3.96247174201086,4.22905440023062,0.177779055605442,59.2811416873987,46.2456934229259,0.819723827676681,1.40749239365679,,,,2021,1,43.6,135112.0,15.9,8.3,1.9
73,0-EU-ES-28-07-001-079-01,Centro,Madrid,445402.346062344,960.640672758202,5095.42468543042,16.7732513227206,3.95019116754241,4.19400838082784,0.187575531323375,89.0552645825582,68.0553040606177,1.11017208162306,1.58444699385425,,,,2021,2,43.6,135112.0,15.9,8.3,1.9
74,0-EU-ES-28-07-001-079-01,Centro,Madrid,452639.478086024,961.506956839197,5108.07697014293,16.6385282372673,3.9087574446166,4.15398062789455,0.19285127659675,109.654373127809,88.5201597258948,1.05941614260779,1.51682886191985,42505.5751717239,44.6101059038536,38.6068585928246,2021,3,43.6,135112.0,15.9,8.3,1.9
75,0-EU-ES-28-07-001-079-01,Centro,Madrid,461398.311083775,972.547537979386,5124.76083175551,16.6019524355319,3.88746784029213,4.11002389412097,0.188422796965347,108.963213442761,89.7940666866755,1.03408572101189,1.54051283251079,,,,2021,4,43.6,135112.0,15.9,8.3,1.9
76,0-EU-ES-28-07-001-079-01,Centro,Madrid,465523.657018476,986.925071653546,5143.7748672884,16.6454583638687,3.883247333329,4.0639976222185,0.169820727664113,100.846338457701,88.9009060758404,0.934970540768111,1.59849411237412,,,,2021,5,43.6,135112.0,15.9,8.3,1.9
77,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,226158.048407837,749.500186498657,2735.155143176,11.5051009018256,5.04765556595058,,,57.8254560724585,145.182766579742,0.551673730365138,2.02035601315896,,,,2015,1,43.4,150230.0,18.3,14.7,2.4
