Ano,Distrito,Precio_venta,Precio_alquiler,Esperanza_vida,Renta_media_persona,Edad_media,Mayores_65anos%,Menores_18anos%,Tamano_vivienda_personas,Paro_registrado%,Apartamentos_turisticos,Superficie_distrito_ha,Densidad_poblacion,Zonas_verdes%
2015,TETUAN,2584.25,11.666666666666666,83.6,14563.0,44.0,0.201,0.133,2.3,0.0722135312652554,4.0,537.47,279.4946694699239,0.11915083632574842
2015,CHAMBERI,3700.8333333333335,13.808333333333332,84.1,21558.0,45.9,0.23800000000000002,0.12300000000000001,2.2,0.047520416178802746,3.0,467.92,288.38690374422976,0.02175585570182937
2015,FUENCARRALELPARDO,2766.8333333333335,10.291666666666666,84.7,18109.0,42.0,0.203,0.191,2.7,0.05084868253577885,0.0,23783.84,9.744894012068698,0.014479579411903207
2015,MONCLOAARAVACA,3043.6666666666665,11.758333333333333,84.8,21689.0,43.6,0.212,0.16899999999999998,2.6,0.04676313874609769,10.0,4653.11,24.41549845157325,0.04265964054148731
2015,LATINA,1642.25,8.575,84.6,12057.0,45.9,0.255,0.141,2.5,0.07623896779914521,1.0,2542.72,91.06665303297257,0.10877328215454317
2015,CARABANCHEL,1629.1666666666667,8.65,83.8,10758.0,42.9,0.2,0.16699999999999998,2.6,0.08631611613378672,0.0,1404.83,169.35928190599574,0.16386324323939552
2015,USERA,1508.6666666666667,8.558333333333334,83.5,9276.0,41.8,0.18,0.18,2.7,0.09210011016109798,0.0,777.77,169.6234105198195,0.21677359630739165
2015,PUENTEDEVALLECAS,1318.25,8.475,82.6,9386.0,42.8,0.187,0.162,2.6,0.10394882789527361,1.0,1496.86,149.5697660435846,0.1797028446214075
2015,MORATALAZ,1920.9166666666667,8.575,84.6,13714.0,46.4,0.257,0.14400000000000002,2.5,0.07151597286693487,0.0,610.32,153.54404246952416,0.19126032245379473
2015,CIUDADLINEAL,2432.5,10.308333333333334,84.8,14767.0,45.2,0.23199999999999998,0.14800000000000002,2.5,0.06820104132449112,0.0,1142.57,183.84256544456795,0.11127545795881216
2015,HORTALEZA,2746.5833333333335,10.533333333333333,83.9,17662.0,41.5,0.184,0.19399999999999998,2.6,0.05666370822144341,0.0,2762.61,63.623891899327084,0.11301269451714138
2015,VILLAVERDE,1355.3333333333333,7.741666666666667,83.0,9642.0,41.6,0.183,0.18600000000000003,2.7,0.1004456181085058,0.0,2018.76,69.12362044027026,0.10653569517921892
2015,VILLADEVALLECAS,1897.75,8.783333333333333,83.5,11688.0,37.6,0.11900000000000001,0.20800000000000002,2.5,0.08614156950301827,1.0,5146.72,19.580431808996796,0.05397612459974508
2015,VICALVARO,1647.3333333333333,8.341666666666667,84.9,11375.0,39.3,0.145,0.222,2.7,0.0822064237469925,0.0,3526.67,19.563497577034425,0.04538559037278793
2015,SANBLASCANILLEJAS,2101.0,9.633333333333333,83.8,13171.0,42.1,0.177,0.187,2.6,0.0761491788281037,14.0,2229.24,67.99267911934113,0.07174193895677451
2015,BARAJAS,2582.8333333333335,9.625,83.5,17257.0,40.5,0.168,0.20199999999999999,2.7,0.05357155810900016,0.0,4171.65,11.015065981086622,0.02343676962353026
2016,CENTRO,3666.3333333333335,15.666666666666666,83.7,16147.0,43.7,0.165,0.098,2.0,0.07219852651001361,38.0,522.82,243.9520293791362,0.06264106193336139
2016,ARGANZUELA,2835.0,12.299999999999999,85.6,17306.0,43.6,0.18600000000000003,0.147,2.4,0.056433891126263236,3.0,646.22,232.85258890161245,0.1365633994614837
2016,RETIRO,3395.75,13.216666666666667,85.7,21504.0,46.3,0.252,0.141,2.4,0.04200305445791888,1.0,546.62,214.81833815081774,0.06516409937433683
2016,SALAMANCA,4373.25,15.383333333333333,85.8,24433.0,45.9,0.24,0.131,2.3,0.041439427964440265,7.0,539.24,260.12721608189304,0.05722869223351383
2016,CHAMARTIN,4189.0,13.483333333333334,85.7,25969.0,44.8,0.23,0.154,2.5,0.03978834736365211,6.0,917.55,153.15677619748243,0.05888507438286742
2016,TETUAN,2690.4166666666665,12.716666666666667,85.1,14970.0,43.9,0.19899999999999998,0.135,2.3,0.06581515752368364,4.0,537.47,281.50408394887154,0.11915083632574842
2016,CHAMBERI,3926.25,15.016666666666666,85.4,22499.0,45.9,0.239,0.125,2.2,0.04351875291618271,3.0,467.92,287.0319712771414,0.02175585570182937
2016,FUENCARRALELPARDO,2798.0,10.700000000000001,85.2,18573.0,42.1,0.205,0.195,2.7,0.04600216801705999,0.0,23783.84,9.864807365000773,0.014479579411903207
2016,MONCLOAARAVACA,3150.3333333333335,12.233333333333334,84.8,22152.0,43.8,0.215,0.17,2.5,0.043168784189165345,10.0,4653.11,24.357902564091546,0.04265964054148731
2016,LATINA,1741.1666666666667,9.066666666666666,85.5,12232.0,46.1,0.254,0.142,2.5,0.07024223476073146,1.0,2542.72,90.8212465391392,0.10877328215454317
2016,CARABANCHEL,1617.0833333333333,9.15,84.4,10872.0,43.0,0.198,0.16899999999999998,2.6,0.07941177697064723,0.0,1404.83,170.70179309952096,0.16386324323939552
2016,USERA,1507.5833333333333,9.049999999999999,83.9,9395.0,41.9,0.177,0.18,2.7,0.08358630369499935,0.0,777.77,170.68799259421166,0.21677359630739165
2016,PUENTEDEVALLECAS,1345.3333333333333,9.033333333333333,83.2,9545.0,42.8,0.185,0.162,2.6,0.09576415988466519,1.0,1496.86,150.1389575511404,0.1797028446214075
2016,MORATALAZ,1984.8333333333333,8.958333333333334,84.6,13944.0,46.7,0.259,0.14300000000000002,2.5,0.06497745816721683,0.0,610.32,152.88373312360727,0.19126032245379473
2016,CIUDADLINEAL,2429.8333333333335,10.891666666666666,85.6,15048.0,45.3,0.233,0.14800000000000002,2.5,0.062241239065712176,0.0,1142.57,183.63338788870703,0.11127545795881216
2016,HORTALEZA,2879.9166666666665,10.791666666666666,85.3,18277.0,41.6,0.185,0.196,2.6,0.05200025070956419,1.0,2762.61,64.49010175160446,0.11301269451714138
2016,VILLAVERDE,1385.5833333333333,8.049999999999999,84.5,9756.0,41.7,0.182,0.188,2.7,0.09061264915565137,1.0,2018.76,69.85278091501714,0.10653569517921892
2016,VILLADEVALLECAS,1866.4166666666667,9.158333333333333,84.4,11925.0,37.8,0.12,0.21100000000000002,2.6,0.07803194084932154,1.0,5146.72,20.04169645910405,0.05397612459974508
2016,VICALVARO,1696.75,8.825000000000001,84.0,11695.0,39.6,0.146,0.22,2.7,0.0747800093234716,0.0,3526.67,19.66699464367236,0.04538559037278793
2016,SANBLASCANILLEJAS,2118.0,9.783333333333333,84.4,13404.0,42.3,0.177,0.18600000000000003,2.6,0.07022689268500606,10.0,2229.24,68.40672157327161,0.07174193895677451
2016,BARAJAS,2588.8333333333335,9.958333333333334,84.7,17641.0,40.7,0.171,0.205,2.7,0.04815861486002464,0.0,4171.65,11.154339410065562,0.02343676962353026
2017,CENTRO,4135.583333333333,17.466666666666665,83.7,16711.0,43.7,0.16399999999999998,0.094,1.9,0.06540685988458794,41.0,522.82,245.83030488504644,0.06264106193336139
2017,ARGANZUELA,3186.0,13.666666666666666,84.8,17738.0,43.8,0.18899999999999997,0.145,2.4,0.050521249238309564,4.0,646.22,234.4820649314475,0.1365633994614837
2017,RETIRO,3689.5,14.299999999999999,85.8,21598.0,46.4,0.255,0.141,2.4,0.03847479997399874,1.0,546.62,215.76780944714793,0.06516409937433683
2017,SALAMANCA,4759.583333333333,17.033333333333335,85.4,24683.0,45.7,0.23800000000000002,0.129,2.3,0.03758373887961704,8.0,539.24,264.4573844670277,0.05722869223351383
2017,CHAMARTIN,4443.0,14.758333333333333,85.5,26267.0,44.7,0.23,0.154,2.5,0.03583093516763763,7.0,917.55,155.2721922511035,0.05888507438286742
2017,TETUAN,2944.1666666666665,14.075000000000001,84.2,15180.0,43.8,0.19699999999999998,0.134,2.3,0.05957013427193326,4.0,537.47,285.4484901482873,0.11915083632574842
2017,CHAMBERI,4416.833333333333,16.091666666666665,85.2,22897.0,45.8,0.239,0.124,2.2,0.038948226390599756,4.0,467.92,289.73115062403826,0.02175585570182937
2017,FUENCARRALELPARDO,2998.5,11.491666666666667,85.1,18661.0,42.2,0.205,0.19699999999999998,2.7,0.041390700768590305,0.0,23783.84,10.049218292756763,0.014479579411903207
