Distrito,Habitaciones,Operacion,Precio,Tamano,Garaje,Trastero,Piscina,Terraza,Planta,Exterior,Ascensor,Ano_construccion,Ano_reforma,Tipo_vivienda,Banos,Cluster_KMeans,Cluster_GMM,Cluster_HDBSCAN,Cluster_DP_GMM
CENTRO,1,0,1149,46.0,0,0,0,0,4.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,1200,45.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,3500,109.0,0,0,0,0,2.0,1,1,,2021.0,0,1,1,0,2,0
CENTRO,1,0,1500,43.0,0,0,0,1,1.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1250,41.0,0,0,0,0,2.0,0,0,,,0,1,3,3,3,8
CENTRO,2,0,1800,54.0,0,0,0,0,7.0,1,1,,,0,1,1,8,2,10
CENTRO,3,0,2500,160.0,0,0,0,0,4.0,1,1,,,0,1,1,8,2,0
CENTRO,3,0,2300,80.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1400,60.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1590,89.0,1,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,1650,95.0,0,0,0,0,3.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,1680,85.0,0,0,1,0,5.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1750,78.0,1,0,0,0,0.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,1650,79.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1170,30.0,0,0,0,0,1.0,0,0,,,0,1,3,3,3,8
CENTRO,2,0,1650,80.0,0,0,0,0,4.0,1,0,,,0,1,3,16,1,15
CENTRO,5,0,3300,160.0,0,0,0,0,1.0,1,1,,,0,1,1,8,2,10
CENTRO,1,0,1300,50.0,0,0,0,0,1.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,1400,53.0,0,1,0,0,4.0,0,1,,,0,1,5,18,0,12
CENTRO,2,0,2300,66.0,0,0,0,0,1.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,1400,32.0,0,0,0,0,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1750,60.0,0,0,0,0,4.0,1,0,,,7,1,4,5,0,17
CENTRO,1,0,1550,28.0,0,0,0,0,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1100,38.0,0,0,0,0,1.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,1800,79.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1200,50.0,0,0,0,0,4.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,2145,65.0,0,0,0,0,4.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,1400,56.0,0,0,0,1,7.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,2500,73.0,0,0,0,0,3.0,1,0,,,0,1,3,16,1,15
CENTRO,1,0,1650,80.0,0,0,0,0,2.0,1,0,,,0,2,3,13,-1,9
CENTRO,2,0,1600,87.0,0,0,0,0,1.0,1,1,,2018.0,0,1,1,0,2,0
CENTRO,1,0,1190,58.0,0,0,0,1,1.0,1,0,,,3,1,2,5,0,17
CENTRO,2,0,1600,75.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,2800,146.0,0,0,0,1,5.0,1,1,,,7,1,4,4,0,3
CENTRO,3,0,2300,120.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2550,95.0,0,0,0,0,4.0,1,1,,,0,2,1,13,-1,13
CENTRO,1,0,1450,50.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1700,52.0,0,0,0,0,4.0,0,1,1880.0,,0,1,1,15,1,6
CENTRO,1,0,1100,26.0,0,0,0,0,6.0,1,1,,,0,1,1,8,2,10
CENTRO,2,0,1600,57.0,0,0,0,0,4.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,1300,70.0,0,0,0,0,5.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1100,38.0,0,0,0,0,0.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1600,62.0,0,0,0,0,1.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,2100,68.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1600,81.0,0,0,0,0,5.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,5400,240.0,0,0,0,0,2.0,1,1,,,0,1,1,8,2,10
CENTRO,2,0,1670,87.0,0,0,0,1,3.0,1,0,,,0,1,3,16,1,15
CENTRO,4,0,9500,310.0,0,0,0,0,11.0,1,1,1881.0,,0,1,1,5,2,10
CENTRO,1,0,950,35.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1200,40.0,0,0,0,0,1.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,2900,91.0,0,0,0,0,3.0,1,1,,,2,1,4,4,0,3
CENTRO,1,0,1550,52.0,0,1,0,0,4.0,1,1,,,0,1,5,18,0,12
CENTRO,2,0,3500,85.0,0,0,0,0,1.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,1200,60.0,0,0,0,0,5.0,1,0,,,0,1,3,16,1,15
CENTRO,1,0,1200,45.0,0,0,0,0,-1.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,850,30.0,0,0,0,0,2.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1600,62.0,0,0,0,0,2.0,0,0,,2019.0,0,1,3,3,3,8
CENTRO,2,0,3600,125.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,2500,127.0,0,0,0,0,2.0,1,0,,,0,2,3,13,-1,9
CENTRO,2,0,3900,128.0,0,0,0,1,3.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1600,65.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2600,100.0,0,0,0,0,1.0,1,1,,,2,1,4,4,0,3
CENTRO,1,0,1315,35.0,0,0,0,0,0.0,1,1,,,0,1,1,0,2,0
