precio,localidad,tamanio,habitaciones,descripcion,link,descripcion_larga,distrito
995.000,Piso en Calle de Mauricio Legendre Castilla,133,4,Planta 8ª exterior con ascensor,/inmueble/109104090/,"
Exclusividad, diseño y vistas se unen en este espectacular piso ubicado en la planta octava de una finca representativa en la zona de Chamartín, subzona Castilla, a escasos metros del Paseo de la Castellana. Una vivienda única, completamente exterior, con orientación privilegiada y vistas despejadas a las Cuatro Torres y la Sierra, que ofrece una experiencia residencial inigualable.
La propiedad cuenta con 133 m² construidos según Catastro, completamente reformados con un proyecto de interiorismo de alto nivel, donde cada detalle ha sido cuida
",chamartin
1.800.000,Piso en El Viso Madrid,197,4,Planta 13ª exterior con ascensor,/inmueble/108576565/,"
ÚNICA inmobiliaria les ofrece esta oportunidad de inversión, actualmente con un contrato de alquiler que vence en un máximo de 2 años.
Se trata de una vivienda de 197m2 que fue totalmente reformada con excelentes calidades y sobre todo con unas vistas espectaculares de Madrid, gracias a su situación, altura y grandes ventanales en todas las estancias.
El piso se articula a través de un recibidor que nos da paso por un lado a la cocina, con entrada independiente, dormitorio de servicio, baño y terraza tendedero; por otro lado un gran salón-co
",chamartin
5.800.000,Casa o chalet independiente en El Viso Madrid,848,9,,/inmueble/104911185/,"
ÚNICA Inmobiliaria Chamartín ofrece este singular y exclusivo chalet individual con ascensor, en el corazón del barrio del Viso.
Los 848 m² se distribuyen:
Planta principal: Hall de entrada, aseo de cortesía, gran salón en varios ambientes con salida al jardín y piscina, comedor independiente, y cocina con office.
Primera planta: Cinco dormitorios, dos cuartos de baño completos y dos estupendas terrazas acristaladas.
Segunda planta: Tres dormitorios (el principal con vestidor y cuarto de baño completo) y otro baño más para dar servicio al res
",chamartin
790.000,Piso en Calle de López de Hoyos Ciudad Jardín,132,3,Planta 5ª exterior con ascensor,/inmueble/108601560/,"
MOREHOUSE Real Estate vende exclusiva vivienda en altura en el corazón del barrio de Ciudad Jardín (Chamartín)
Ubicada en pleno corazón del barrio de Ciudad Jardín, dentro del codiciado distrito de Chamartín, esta magnífica vivienda en altura destaca por su inmejorable ubicación y por unas características que la convierten en una auténtica joya inmobiliaria. Situada en una de las mancomunidades más valoradas de la zona, es ideal para quienes buscan amplitud, luz natural y un espacio con gran potencial de personalización.
Con una superficie co
",chamartin
1.850.000,Piso en El Viso Madrid,197,4,Planta 13ª exterior con ascensor,/inmueble/108686906/,"
Olisson Club presenta esta extraordinaria propiedad situada en una de las zonas más codiciadas de Madrid: El Viso. Ubicada en un elegante edificio de 1969, impecablemente conservado, esta vivienda destaca por su posición privilegiada sin edificios colindantes, lo que le permite disfrutar de impresionantes vistas panorámicas de 360º sobre la ciudad.
Con una superficie de 200 m², la propiedad ha sido diseñada para aprovechar al máximo la luz natural, gracias a su excelente orientación y a sus amplias ventanas exteriores. El interior ofrece un eq
",chamartin
740.000,Piso en Calle de López de Hoyos El Viso,85,2,Planta 8ª exterior con ascensor,/inmueble/108142029/,"
MoreHouse Real Estate presenta esta magnífica vivienda situada en la última planta de un edificio con ascensor y portero físico, en el exclusivo barrio de El Viso, muy cerca del Barrio de Salamanca y próxima al Instituto de Empresa (IE).
La vivienda, de 85 m², fue completamente reformada en 2020 con un diseño moderno y materiales de calidad. Su orientación sureste garantiza luz natural durante todo el día, y las vistas a un amplio patio de manzana ofrecen un ambiente tranquilo y silencioso, ideal para quienes buscan privacidad en pleno Madrid.
",chamartin
5.300.000,Casa o chalet independiente en Nueva España Madrid,795,6,,/inmueble/107413441/,"
Inmobiliaria Busco Tú Piso pone a su disposición espectacular chalet independiente en Nueva España. La buena ubicación del inmueble, la tranquilidad del barrio, junto el jardín y piscina, pueden convertirse en la casa ideal para cualquier familia.
Características:
- 796 m2 construidos
- 555 m2 de parcela
- En la planta principal, hay un amplio salón comedor, junto con cocina totalmente equipada con salida a jardín y salita. También se encuentra uno de los baños.
- En la primera, segunda y tercera planta se encuentran los 6 dormitorios, cada uno
",chamartin
3.500.000,Ático en Calle de las Platerías Nueva España,420,5,Planta 4ª exterior con ascensor,/inmueble/108824536/,"
Lucía Suárez-Zuloaga de GV | NUEVA ESPAÑA comercializa el siguiente inmueble:
ESPECTACULAR ático señorial de 420 metros cuadrados construidos completamente reformado con excelentes calidades y ubicado en una de las fincas más representativas de la zona de Nueva España.
Su exterior, cuenta con excelentes zonas comunes
",chamartin
1.425.000,Piso en Castilla Madrid,153,3,Planta 8ª exterior con ascensor,/inmueble/108631169/,"
En el codiciado barrio de Castilla, en el distrito de Chamartín, se encuentra este piso de 153 m², una joya con excelente orientación sur que garantiza luminosidad excepcional durante todo el día. Ideal tanto para quienes buscan un hogar único como para quienes desean invertir en una propiedad con gran proyección.
La
",chamartin
4.300.000,Casa o chalet independiente en Calle del Maestro Ripoll El Viso,370,5,,/inmueble/92717047/,"
Lucía Suárez-Zuloaga de GV | EL VISO comercializa el siguiente inmueble:
Bonito unifamiliar de 370 metros cuadrados sobre una parcela de 380 metros cuadrados en la mejor zona de El Viso. La vivienda que se desarrolla en cuatro plantas es para reforma total. Es muy versátil por lo que podría adaptarse a diferentes gust
",chamartin
